Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
246,,NYY,Batting 3rd,2015,193,86.7,162,728,617,93,143,29,1,27,85,4,1,95,157,.232,.337,.413,.750,255,24,7,0,9,5,4,.262,102,85
247,,SEA,Batting 3rd,2006,172,86.7,162,731,666,88,175,39,5,21,92,2,4,46,108,.263,.319,.431,.750,287,21,12,0,7,8,11,.283,100,77
248,,TEX,Batting 3rd,2013,176,86.7,163,718,646,85,169,31,3,17,97,15,3,63,118,.262,.327,.398,.725,257,12,2,2,5,4,10,.295,98,82
249,,CLE,Batting 3rd,2012,177,86.4,162,721,622,74,159,34,1,14,90,19,5,81,119,.256,.350,.381,.731,237,19,12,1,5,4,4,.294,108,82
250,,SDP,Batting 3rd,2015,186,86.4,162,703,633,82,165,28,3,22,98,16,2,56,153,.261,.321,.419,.740,265,17,5,0,9,2,5,.306,116,82
251,,SFG,Batting 3rd,2015,174,86.4,162,721,671,86,193,31,11,8,68,14,2,44,107,.288,.331,.402,.734,270,23,2,0,4,1,7,.330,101,81
252,,FLA,Batting 3rd,2011,188,86.1,162,724,637,76,154,34,3,23,84,14,6,71,148,.242,.321,.413,.734,263,13,6,4,6,5,4,.278,107,82
253,,OAK,Batting 3rd,2006,174,85.7,162,735,655,86,167,30,2,20,82,11,1,75,131,.255,.331,.398,.730,261,23,1,1,3,3,6,.290,94,73
254,,TOR,Batting 3rd,2007,173,85.6,162,716,643,102,166,41,5,14,75,14,5,61,109,.258,.326,.403,.729,259,14,6,1,5,1,6,.290,96,73
255,,CHW,Batting 3rd,2013,174,84.8,162,711,654,81,175,31,6,16,81,32,7,49,106,.268,.319,.407,.725,266,17,2,1,4,2,7,.297,113,82
256,,LAA,Batting 3rd,2010,182,84.6,162,714,623,79,160,36,1,16,92,19,9,80,129,.257,.341,.395,.736,246,19,3,1,7,3,9,.297,111,81
257,,MIN,Batting 3rd,2014,183,84.3,162,732,650,72,170,52,2,7,91,3,4,74,140,.262,.340,.380,.720,247,15,5,0,3,9,5,.322,103,82
258,,CHC,Batting 3rd,2012,169,84.1,162,702,641,77,174,26,5,19,86,17,9,47,118,.271,.323,.417,.739,267,16,5,2,7,1,12,.303,117,82
259,,SEA,Batting 3rd,2009,171,84.1,162,713,664,77,175,43,0,21,78,6,1,39,88,.264,.311,.423,.735,281,19,8,0,2,2,10,.276,104,75
260,,BAL,Batting 3rd,2013,165,84.0,162,718,646,91,165,30,1,23,77,7,2,62,124,.255,.323,.412,.735,266,21,5,0,5,4,10,.282,99,84
261,,MIN,Batting 3rd,2013,183,83.6,162,730,643,66,159,30,0,19,73,3,2,75,155,.247,.333,.383,.715,246,15,9,0,3,4,9,.297,108,81
262,,OAK,Batting 3rd,2011,180,83.6,162,712,632,73,169,33,1,12,74,10,4,65,97,.267,.335,.380,.714,240,12,4,0,10,2,8,.295,111,79
263,,SEA,Batting 3rd,2011,175,83.4,162,703,624,71,152,33,6,16,74,9,1,73,156,.244,.323,.393,.716,245,9,2,1,3,4,9,.299,124,78
264,,SDP,Batting 3rd,2011,183,82.9,162,714,629,72,166,39,3,4,67,27,4,70,153,.264,.339,.355,.694,223,9,4,4,5,4,3,.340,113,75
265,,MIL,Batting 3rd,2006,177,82.7,162,716,632,86,154,30,1,24,93,9,1,68,155,.244,.323,.408,.731,258,22,9,0,7,6,6,.283,96,73
266,,DET,Batting 3rd,2006,195,82.5,162,728,684,92,183,31,5,19,86,7,1,31,128,.268,.304,.411,.715,281,17,6,4,3,2,10,.304,84,68
267,,TBR,Batting 3rd,2014,201,82.4,162,722,630,86,153,31,3,18,79,1,2,71,151,.243,.325,.387,.713,244,12,10,3,8,4,12,.288,108,79
268,,TBR,Batting 3rd,2013,177,82.4,163,728,640,76,152,36,1,21,92,9,1,69,140,.238,.316,.395,.712,253,16,9,1,9,6,1,.268,93,78
269,,CHC,Batting 3rd,2013,165,82.1,162,710,628,73,146,37,3,23,85,7,5,74,131,.232,.317,.411,.728,258,14,5,1,2,3,7,.258,111,82
270,,NYY,Batting 3rd,2014,178,82.1,162,710,639,69,167,30,0,17,79,30,5,55,106,.261,.323,.388,.711,248,18,7,0,9,5,9,.286,107,79
271,,HOU,Batting 3rd,2008,169,82.0,161,707,643,108,178,47,2,13,76,11,7,53,95,.277,.339,.417,.756,268,32,8,1,1,4,3,.308,105,84
272,,BAL,Batting 3rd,2012,180,81.1,162,721,659,84,157,34,3,27,87,8,1,56,172,.238,.299,.422,.720,278,18,2,1,3,4,8,.281,97,77
273,,CHC,Batting 3rd,2010,176,81.0,162,722,644,91,165,39,1,15,78,3,3,70,144,.256,.331,.390,.721,251,22,4,0,4,2,7,.307,101,77
274,,PHI,Batting 3rd,2013,176,80.9,162,697,619,82,163,28,5,13,68,13,5,69,97,.263,.339,.388,.727,240,19,4,1,4,9,4,.292,112,83
275,,CHW,Batting 3rd,2009,188,80.8,162,705,626,86,151,23,1,27,89,1,2,61,114,.241,.319,.411,.729,257,18,12,2,4,2,4,.254,97,75
