Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
285,,CHW,Batting 4th,2013,178,74.0,162,696,608,66,131,19,1,25,81,1,1,79,187,.215,.306,.373,.680,227,6,3,0,5,7,4,.264,100,73
286,,NYY,Batting 4th,2014,180,73.4,162,697,610,74,134,23,0,25,76,1,2,71,147,.220,.308,.380,.689,232,13,10,0,6,3,1,.245,100,84
287,,LAA,Batting 4th,2015,193,73.1,162,686,625,75,143,23,1,27,91,9,3,52,103,.229,.291,.398,.689,249,9,4,0,4,10,7,.232,95,73
288,,NYY,Batting 4th,2013,176,72.4,162,688,615,70,140,23,0,24,84,11,5,63,179,.228,.305,.382,.687,235,13,7,0,3,4,4,.280,101,75
289,,PIT,Batting 4th,2009,173,72.4,161,698,628,73,149,38,1,22,81,7,3,60,132,.237,.302,.406,.708,255,24,1,2,7,11,6,.264,100,72
290,,SEA,Batting 4th,2012,174,71.4,162,691,610,78,143,22,2,17,72,7,1,70,130,.234,.314,.361,.675,220,15,4,0,7,4,7,.268,104,68
291,,KCR,Batting 4th,2013,184,69.2,162,696,628,65,158,28,1,11,72,10,1,60,121,.252,.316,.352,.668,221,21,2,0,6,9,7,.293,93,72
292,,SEA,Batting 4th,2010,174,68.1,162,688,634,64,151,33,0,18,78,12,2,45,108,.238,.292,.375,.668,238,18,5,0,4,2,7,.260,109,66
293,,SDP,Batting 4th,2011,226,68.0,162,695,617,67,142,32,1,12,81,10,3,64,155,.230,.305,.344,.649,212,9,5,0,6,7,4,.285,99,65
294,,HOU,Batting 4th,2010,238,67.9,162,681,627,69,146,28,1,24,83,4,3,46,85,.233,.288,.396,.683,248,18,4,0,4,4,5,.234,104,69
295,,SDP,Batting 4th,2014,182,67.8,162,681,602,70,133,26,2,21,83,3,2,64,163,.221,.300,.375,.675,226,17,7,1,7,2,5,.264,112,80
296,,TBR,Batting 4th,2012,205,67.2,162,696,619,70,147,25,3,18,71,6,4,63,162,.237,.311,.375,.686,232,29,6,2,6,6,5,.290,93,70
297,,HOU,Batting 4th,2014,173,66.3,162,694,626,63,141,24,2,19,74,11,2,59,180,.225,.297,.361,.658,226,19,6,0,3,6,11,.284,90,76
298,,SEA,Batting 4th,2014,197,63.5,162,685,611,63,133,23,1,19,75,8,2,60,143,.218,.295,.352,.647,215,18,9,1,4,3,6,.252,92,73
299,,SEA,Batting 4th,2011,165,61.0,162,689,618,60,133,27,2,16,75,4,1,60,176,.215,.283,.343,.626,212,15,2,1,8,1,0,.270,96,59
300,,KCR,Batting 4th,2009,192,55.1,162,696,631,72,133,23,2,13,71,3,0,54,157,.211,.280,.315,.596,199,19,8,0,3,1,8,.259,66,47
